file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines
./OpenStack/horizon/openstack_dashboard/enabled/_2840_admin_info_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_3000_identity.py,0,0,0,0,0,0,0,0,0,14
./OpenStack/horizon/openstack_dashboard/enabled/_3010_identity_domains_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_3020_identity_projects_panel.py,0,0,0,0,0,0,0,0,0,11
./OpenStack/horizon/openstack_dashboard/enabled/_3030_identity_users_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_3040_identity_groups_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_3050_identity_roles_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_3060_federation_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_3070_identity_identity_providers_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_3080_identity_mappings_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_3090_identity_application_credentials_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_5000_settings.py,0,0,0,0,0,0,0,0,0,7
./OpenStack/horizon/openstack_dashboard/enabled/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/local/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/management/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/templatetags/context_selection.py,2,0,7,0,0,0,0,0,0,149
./OpenStack/horizon/openstack_dashboard/templatetags/themes.py,0,0,0,0,0,0,0,0,0,90
./OpenStack/horizon/openstack_dashboard/templatetags/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/test/error_pages_urls.py,0,0,0,0,0,0,0,0,0,18
./OpenStack/horizon/openstack_dashboard/test/extensible_header_urls.py,0,0,0,0,0,0,0,0,0,18
./OpenStack/horizon/openstack_dashboard/test/helpers.py,10,0,3,0,5,3,0,1,0,640
./OpenStack/horizon/openstack_dashboard/test/settings.py,2,0,0,0,0,0,0,0,0,275
./OpenStack/horizon/openstack_dashboard/test/urls.py,0,0,0,0,0,0,0,0,0,56
./OpenStack/horizon/openstack_dashboard/test/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/openstack_dashboard/usage/base.py,0,0,1,0,2,1,0,3,0,193
./OpenStack/horizon/openstack_dashboard/usage/quotas.py,10,0,1,0,0,1,0,0,1,411
./OpenStack/horizon/openstack_dashboard/usage/tables.py,0,0,1,0,0,0,0,0,0,98
./OpenStack/horizon/openstack_dashboard/usage/views.py,1,0,4,0,2,2,0,0,0,223
./OpenStack/horizon/openstack_dashboard/usage/__init__.py,0,0,0,0,0,0,0,0,0,34
./OpenStack/horizon/openstack_dashboard/utils/config.py,0,0,0,0,0,0,0,0,0,66
./OpenStack/horizon/openstack_dashboard/utils/config_types.py,0,0,6,0,3,1,0,0,0,211
./OpenStack/horizon/openstack_dashboard/utils/filters.py,0,0,1,0,0,0,0,0,0,47
./OpenStack/horizon/openstack_dashboard/utils/futurist_utils.py,0,1,1,0,0,0,0,0,0,50
./OpenStack/horizon/openstack_dashboard/utils/identity.py,0,0,1,0,0,0,0,0,0,28
./OpenStack/horizon/openstack_dashboard/utils/settings.py,2,0,1,0,0,2,0,0,0,408
./OpenStack/horizon/openstack_dashboard/utils/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/releasenotes/source/conf.py,0,0,0,0,0,0,0,0,0,270
./OpenStack/ironic/api-ref/source/conf.py,0,0,0,0,0,0,0,0,0,211
./OpenStack/ironic/doc/source/conf.py,0,0,0,0,0,0,0,0,0,169
./OpenStack/ironic/ironic/api/app.py,0,0,0,0,0,1,0,1,0,151
./OpenStack/ironic/ironic/api/config.py,0,0,0,0,0,0,0,0,0,42
./OpenStack/ironic/ironic/api/functions.py,0,1,2,0,1,1,0,0,1,182
./OpenStack/ironic/ironic/api/hooks.py,0,0,1,0,2,0,0,2,0,180
./OpenStack/ironic/ironic/api/method.py,0,1,7,0,0,2,0,0,0,140
./OpenStack/ironic/ironic/api/wsgi.py,0,0,0,0,0,0,0,0,0,38
